shader,stage,median_us,bench
unity_webgpu_000002778de78280.cs,gen_msl,1189.4313646723622,GenerateMSL/unity_webgpu_000002778DE78280.cs.wgsl
unity_webgpu_000002778f740030.fs.spv,gen_msl,20519.60785000002,GenerateMSL/unity_webgpu_000002778F740030.fs.spv
unity_webgpu_000002778f740030.fs,gen_msl,31465.29633333343,GenerateMSL/unity_webgpu_000002778F740030.fs.wgsl
atan2-const-eval,gen_spv,5325.540923076907,GenerateSPIRV/atan2-const-eval.wgsl
cluster-lights,gen_spv,740.0642864674842,GenerateSPIRV/cluster-lights.wgsl
metaball-isosurface,gen_spv,1485.8385265017655,GenerateSPIRV/metaball-isosurface.wgsl
particles,gen_spv,2698.0448193548514,GenerateSPIRV/particles.wgsl
shadow-fragment,gen_spv,289.1214252239823,GenerateSPIRV/shadow-fragment.wgsl
skinned-shadowed-pbr-fragment,gen_spv,2551.1271030302955,GenerateSPIRV/skinned-shadowed-pbr-fragment.wgsl
skinned-shadowed-pbr-vertex,gen_spv,625.3336472346806,GenerateSPIRV/skinned-shadowed-pbr-vertex.wgsl
unity_webgpu_0000017e9e2d81a0.vs.spv,gen_spv,7238.861949152507,GenerateSPIRV/unity_webgpu_0000017E9E2D81A0.vs.spv
unity_webgpu_0000017e9e2d81a0.vs,gen_spv,10783.7726410257,GenerateSPIRV/unity_webgpu_0000017E9E2D81A0.vs.wgsl
unity_webgpu_000002778de78280.cs.spv,gen_spv,830.1222811881166,GenerateSPIRV/unity_webgpu_000002778DE78280.cs.spv
unity_webgpu_000002778de78280.cs,gen_spv,1067.6020050632947,GenerateSPIRV/unity_webgpu_000002778DE78280.cs.wgsl
unity_webgpu_000002778f740030.fs.spv,gen_spv,21465.86245000002,GenerateSPIRV/unity_webgpu_000002778F740030.fs.spv
unity_webgpu_000002778f740030.fs,gen_spv,32530.383000000176,GenerateSPIRV/unity_webgpu_000002778F740030.fs.wgsl
atan2-const-eval,parse,9258.273044444424,ParseWGSL/atan2-const-eval.wgsl
cluster-lights,parse,589.1568011283522,ParseWGSL/cluster-lights.wgsl
metaball-isosurface,parse,1154.3522216066508,ParseWGSL/metaball-isosurface.wgsl
particles,parse,862.1432443531795,ParseWGSL/particles.wgsl
shadow-fragment,parse,230.77135753880344,ParseWGSL/shadow-fragment.wgsl
skinned-shadowed-pbr-fragment,parse,2105.429000000001,ParseWGSL/skinned-shadowed-pbr-fragment.wgsl
skinned-shadowed-pbr-vertex,parse,398.8743127376432,ParseWGSL/skinned-shadowed-pbr-vertex.wgsl
unity_webgpu_0000017e9e2d81a0.vs.spv,parse,5597.71471999999,ParseWGSL/unity_webgpu_0000017E9E2D81A0.vs.spv
unity_webgpu_0000017e9e2d81a0.vs,parse,10891.591641025636,ParseWGSL/unity_webgpu_0000017E9E2D81A0.vs.wgsl
unity_webgpu_000002778de78280.cs.spv,parse,670.4796176000002,ParseWGSL/unity_webgpu_000002778DE78280.cs.spv
unity_webgpu_000002778de78280.cs,parse,1019.0269903147714,ParseWGSL/unity_webgpu_000002778DE78280.cs.wgsl
unity_webgpu_000002778f740030.fs.spv,parse,13607.708290322533,ParseWGSL/unity_webgpu_000002778F740030.fs.spv
unity_webgpu_000002778f740030.fs,parse,28051.07893333343,ParseWGSL/unity_webgpu_000002778F740030.fs.wgsl
atan2-const-eval,gen_wgsl,6019.439214285731,GenerateWGSL/atan2-const-eval.wgsl
cluster-lights,gen_wgsl,64.16276577394481,GenerateWGSL/cluster-lights.wgsl
metaball-isosurface,gen_wgsl,121.2897652825841,GenerateWGSL/metaball-isosurface.wgsl
particles,gen_wgsl,115.4856951621762,GenerateWGSL/particles.wgsl
shadow-fragment,gen_wgsl,37.81268306306296,GenerateWGSL/shadow-fragment.wgsl
skinned-shadowed-pbr-fragment,gen_wgsl,314.21302870090494,GenerateWGSL/skinned-shadowed-pbr-fragment.wgsl
skinned-shadowed-pbr-vertex,gen_wgsl,48.48653553299474,GenerateWGSL/skinned-shadowed-pbr-vertex.wgsl
unity_webgpu_0000017e9e2d81a0.vs.spv,gen_wgsl,696.5710714285617,GenerateWGSL/unity_webgpu_0000017E9E2D81A0.vs.spv
unity_webgpu_0000017e9e2d81a0.vs,gen_wgsl,1286.738797546019,GenerateWGSL/unity_webgpu_0000017E9E2D81A0.vs.wgsl
unity_webgpu_000002778de78280.cs.spv,gen_wgsl,59.17246508360242,GenerateWGSL/unity_webgpu_000002778DE78280.cs.spv
unity_webgpu_000002778de78280.cs,gen_wgsl,105.16980884557819,GenerateWGSL/unity_webgpu_000002778DE78280.cs.wgsl
unity_webgpu_000002778f740030.fs.spv,gen_wgsl,1790.0461837607036,GenerateWGSL/unity_webgpu_000002778F740030.fs.spv
unity_webgpu_000002778f740030.fs,gen_wgsl,3411.5038720000257,GenerateWGSL/unity_webgpu_000002778F740030.fs.wgsl
